,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aruba,7780,19199,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Afghanistan,1131504,2811747,0,(2.4+/-1.2)e+03,(5.3+/-2.8)e+03,(9+/-5)e+03,(1.4+/-0.7)e+04,(2.2+/-1.2)e+04,(3.7+/-2.0)e+04,(4.5+/-2.4)e+04,(5.0+/-2.6)e+04,(5.4+/-2.8)e+04,(5.7+/-3.0)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04,(5.9+/-3.1)e+04
Angola,1197635,4410067,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Albania,206910,463254,0,(2.8+/-1.5)e+03,(6.4+/-3.3)e+03,(1.1+/-0.6)e+04,(1.7+/-0.9)e+04,(2.6+/-1.4)e+04,(4.4+/-2.3)e+04,(5.4+/-2.8)e+04,(6.0+/-3.2)e+04,(6.4+/-3.4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04,(7+/-4)e+04
Andorra,5739,15955,0,(2.3+/-1.2)e+02,(5.2+/-2.8)e+02,(9+/-5)e+02,(1.4+/-0.7)e+03,(2.2+/-1.1)e+03,(3.7+/-1.9)e+03,(4.4+/-2.3)e+03,(5.0+/-2.6)e+03,(5.3+/-2.8)e+03,(5.6+/-2.9)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03,(5.8+/-3.1)e+03
United Arab Emirates,846149,2156843,0,(1.0+/-0.5)e+05,(2.3+/-1.2)e+05,(3.8+/-2.0)e+05,(6.1+/-3.2)e+05,(9+/-5)e+05,(1.6+/-0.8)e+06,(1.9+/-1.0)e+06,(2.2+/-1.1)e+06,(2.3+/-1.2)e+06,(2.4+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06,(2.5+/-1.3)e+06
Argentina,2516635,8179552,0,(1.9+/-1.0)e+05,(4.2+/-2.2)e+05,(7+/-4)e+05,(1.1+/-0.6)e+06,(1.7+/-0.9)e+06,(2.9+/-1.5)e+06,(3.5+/-1.9)e+06,(3.9+/-2.1)e+06,(4.2+/-2.2)e+06,(4.4+/-2.3)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06
Armenia,208858,448854,0,(4.6+/-2.4)e+03,(1.0+/-0.5)e+04,(1.7+/-0.9)e+04,(2.8+/-1.4)e+04,(4.2+/-2.2)e+04,(7+/-4)e+04,(9+/-5)e+04,(1.0+/-0.5)e+05,(1.0+/-0.5)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05,(1.1+/-0.6)e+05
American Samoa,6748,16251,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Antigua and Barbuda,7072,11531,0,(9+/-5)e+01,(2.1+/-1.1)e+02,(3.5+/-1.8)e+02,(5.6+/-2.9)e+02,(9+/-5)e+02,(1.5+/-0.8)e+03,(1.8+/-0.9)e+03,(2.0+/-1.0)e+03,(2.1+/-1.1)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03,(2.3+/-1.2)e+03
