,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aruba,7780.080978719439,19199.706178644818,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Afghanistan,1131504.2340462562,2811747.122965243,0,0.0+/-0,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05
Angola,1197635.052742595,4410067.650325526,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Albania,206910.37493537847,463254.8187115548,0,0.0+/-0,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05,(2.8+/-1.5)e+05
Andorra,5739.7366478887925,15955.747275606487,0,0,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04,(2.6+/-1.1)e+04
United Arab Emirates,846149.555903558,2156843.6798488414,0,0,(8+/-5)e+06,(8+/-5)e+06,(8+/-5)e+06,(8+/-5)e+06,(9+/-5)e+06,(9+/-5)e+06,(1.0+/-0.5)e+07,(1.1+/-0.5)e+07,(1.1+/-0.5)e+07,(1.2+/-0.5)e+07,(1.2+/-0.5)e+07,(1.3+/-0.5)e+07,(1.4+/-0.5)e+07,(1.4+/-0.5)e+07,(1.5+/-0.5)e+07,(1.5+/-0.5)e+07,(1.6+/-0.5)e+07,(1.7+/-0.5)e+07,(1.7+/-0.5)e+07,(1.8+/-0.5)e+07,(1.8+/-0.5)e+07,(1.9+/-0.5)e+07,(2.0+/-0.5)e+07,(2.0+/-0.5)e+07,(2.1+/-0.5)e+07,(2.1+/-0.5)e+07,(2.2+/-0.5)e+07,(2.3+/-0.5)e+07,(2.3+/-0.5)e+07,(2.4+/-0.5)e+07,(2.4+/-0.5)e+07,(2.5+/-0.5)e+07,(2.6+/-0.5)e+07,(2.6+/-0.5)e+07,(2.7+/-0.5)e+07,(2.7+/-0.5)e+07,(2.8+/-0.5)e+07,(2.9+/-0.5)e+07,(2.9+/-0.6)e+07,(3.0+/-0.6)e+07,(3.0+/-0.6)e+07,(3.1+/-0.6)e+07,(3.2+/-0.6)e+07,(3.2+/-0.6)e+07,(3.3+/-0.6)e+07,(3.3+/-0.6)e+07,(3.4+/-0.6)e+07,(3.5+/-0.6)e+07,(3.5+/-0.6)e+07,(3.6+/-0.6)e+07,(3.6+/-0.6)e+07
Argentina,2516635.2970591933,8179552.430269587,0,0,(1.7+/-1.0)e+07,(1.7+/-1.0)e+07,(1.8+/-1.0)e+07,(1.8+/-1.0)e+07,(1.8+/-1.0)e+07,(1.8+/-1.0)e+07,(1.9+/-1.0)e+07,(2.0+/-1.0)e+07,(2.1+/-1.0)e+07,(2.2+/-1.0)e+07,(2.3+/-1.0)e+07,(2.3+/-1.0)e+07,(2.4+/-1.0)e+07,(2.5+/-1.0)e+07,(2.6+/-1.0)e+07,(2.7+/-1.0)e+07,(2.8+/-1.0)e+07,(2.9+/-1.0)e+07,(3.0+/-1.0)e+07,(3.1+/-1.0)e+07,(3.2+/-1.0)e+07,(3.3+/-1.0)e+07,(3.4+/-1.0)e+07,(3.5+/-1.1)e+07,(3.6+/-1.1)e+07,(3.7+/-1.1)e+07,(3.8+/-1.1)e+07,(3.9+/-1.1)e+07,(4.0+/-1.1)e+07,(4.1+/-1.1)e+07,(4.2+/-1.1)e+07,(4.3+/-1.1)e+07,(4.4+/-1.1)e+07,(4.5+/-1.1)e+07,(4.6+/-1.1)e+07,(4.7+/-1.1)e+07,(4.8+/-1.1)e+07,(4.9+/-1.1)e+07,(5.0+/-1.1)e+07,(5.1+/-1.1)e+07,(5.2+/-1.1)e+07,(5.3+/-1.1)e+07,(5.4+/-1.1)e+07,(5.5+/-1.2)e+07,(5.6+/-1.2)e+07,(5.7+/-1.2)e+07,(5.8+/-1.2)e+07,(5.9+/-1.2)e+07,(6.0+/-1.2)e+07,(6.0+/-1.2)e+07,(6.1+/-1.2)e+07
Armenia,208858.3097740904,448854.0493722088,0,0.0+/-0,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05,(3.9+/-2.1)e+05
American Samoa,6748.353081707387,16251.274069301906,0,0.0+/-0,0.0+/-0,0.0+/-0,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03,(6.6+/-2.3)e+03
Antigua and Barbuda,7072.801258901078,11531.976292048888,0,0.0+/-0,(7+/-4)e+03,(7+/-4)e+03,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04,(1.4+/-0.4)e+04
