Country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Aruba,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Afghanistan,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05,(2.0+/-1.1)e+05
Angola,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Albania,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05,(2.7+/-1.5)e+05
Andorra,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04,(1.9+/-1.1)e+04
United Arab Emirates,(8+/-5)e+06,(8+/-5)e+06,(8+/-5)e+06,(8+/-5)e+06,(8+/-5)e+06,(9+/-5)e+06,(9+/-5)e+06,(1.0+/-0.5)e+07,(1.1+/-0.5)e+07,(1.1+/-0.5)e+07,(1.2+/-0.5)e+07,(1.2+/-0.5)e+07,(1.3+/-0.5)e+07,(1.4+/-0.5)e+07,(1.4+/-0.5)e+07,(1.5+/-0.5)e+07,(1.5+/-0.5)e+07,(1.6+/-0.5)e+07,(1.7+/-0.5)e+07,(1.7+/-0.5)e+07,(1.8+/-0.5)e+07,(1.8+/-0.5)e+07,(1.9+/-0.5)e+07,(2.0+/-0.5)e+07,(2.0+/-0.5)e+07,(2.1+/-0.5)e+07,(2.1+/-0.5)e+07,(2.2+/-0.5)e+07,(2.3+/-0.5)e+07,(2.3+/-0.5)e+07,(2.4+/-0.5)e+07,(2.4+/-0.5)e+07,(2.5+/-0.5)e+07,(2.6+/-0.5)e+07,(2.6+/-0.5)e+07,(2.7+/-0.5)e+07,(2.7+/-0.5)e+07,(2.8+/-0.5)e+07,(2.9+/-0.5)e+07,(2.9+/-0.6)e+07,(3.0+/-0.6)e+07,(3.0+/-0.6)e+07,(3.1+/-0.6)e+07,(3.2+/-0.6)e+07,(3.2+/-0.6)e+07,(3.3+/-0.6)e+07,(3.3+/-0.6)e+07,(3.4+/-0.6)e+07,(3.5+/-0.6)e+07,(3.5+/-0.6)e+07,(3.6+/-0.6)e+07,(3.6+/-0.6)e+07,(3.7+/-0.6)e+07
Argentina,(1.7+/-1.0)e+07,(1.7+/-1.0)e+07,(1.7+/-1.0)e+07,(1.7+/-1.0)e+07,(1.7+/-1.0)e+07,(1.7+/-1.0)e+07,(1.7+/-1.0)e+07,(1.8+/-1.0)e+07,(1.9+/-1.0)e+07,(2.0+/-1.0)e+07,(2.1+/-1.0)e+07,(2.2+/-1.0)e+07,(2.3+/-1.0)e+07,(2.4+/-1.0)e+07,(2.5+/-1.0)e+07,(2.6+/-1.0)e+07,(2.7+/-1.0)e+07,(2.8+/-1.0)e+07,(2.9+/-1.0)e+07,(3.0+/-1.0)e+07,(3.1+/-1.0)e+07,(3.2+/-1.0)e+07,(3.3+/-1.0)e+07,(3.4+/-1.0)e+07,(3.5+/-1.1)e+07,(3.6+/-1.1)e+07,(3.7+/-1.1)e+07,(3.8+/-1.1)e+07,(3.9+/-1.1)e+07,(4.0+/-1.1)e+07,(4.1+/-1.1)e+07,(4.2+/-1.1)e+07,(4.3+/-1.1)e+07,(4.4+/-1.1)e+07,(4.5+/-1.1)e+07,(4.6+/-1.1)e+07,(4.7+/-1.1)e+07,(4.8+/-1.1)e+07,(4.9+/-1.1)e+07,(5.0+/-1.1)e+07,(5.1+/-1.1)e+07,(5.2+/-1.1)e+07,(5.3+/-1.1)e+07,(5.3+/-1.1)e+07,(5.4+/-1.2)e+07,(5.5+/-1.2)e+07,(5.6+/-1.2)e+07,(5.7+/-1.2)e+07,(5.8+/-1.2)e+07,(5.9+/-1.2)e+07,(6.0+/-1.2)e+07,(6.1+/-1.2)e+07,(6.2+/-1.2)e+07
Armenia,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05,(3.8+/-2.1)e+05
American Samoa,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Antigua and Barbuda,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03,(7+/-4)e+03
